Filename,623 Nest to jan 14.clklb,,,,,,,,,,,,,,,,,,,,,,
Start Day,1  23-12-21,,,,,,,,,,,,,,,,,,,,,,
End Day,22  13-01-22,,,,,,,,,,,,,,,,,,,,,,
Start Hr,0.00,,,,,,,,,,,,,,,,,,,,,,
Tau,24.00,,,,,,,,,,,,,,,,,,,,,,
Bin (mn),1.00,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
Min / Day,1.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000
1.00,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,8.00,0.00,0.00,0.00
2.00,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,2.00,3.00,0.00,0.00,0.00
3.00,NaN,0.00,0.00,0.00,8.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,6.00,16.00,0.00,0.00,6.00
4.00,NaN,0.00,0.00,0.00,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,10.00,0.00,0.00,12.00
5.00,NaN,0.00,0.00,0.00,4.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,4.00,9.00,0.00,0.00,5.00
6.00,NaN,0.00,1.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,13.00,8.00,0.00,0.00,0.00
7.00,NaN,0.00,0.00,6.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,11.00,13.00,8.00,0.00,0.00,1.00
8.00,NaN,0.00,0.00,16.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,1.00,17.00,7.00,0.00,0.00,0.00
9.00,NaN,0.00,0.00,12.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.00,0.00,7.00,7.00,0.00,0.00,0.00
10.00,NaN,2.00,0.00,11.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,7.00,0.00,19.00,0.00,0.00,0.00
11.00,NaN,13.00,2.00,5.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,11.00,0.00,14.00,0.00,0.00,3.00
12.00,NaN,2.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00,4.00,2.00,2.00,0.00,0.00,1.00
13.00,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,15.00,17.00,0.00,0.00,0.00,0.00
14.00,NaN,0.00,0.00,0.00,7.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.00,14.00,13.00,0.00,0.00,0.00,0.00
15.00,NaN,0.00,0.00,11.00,13.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.00,16.00,16.00,8.00,0.00,0.00,4.00
16.00,NaN,0.00,0.00,3.00,18.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.00,0.00,5.00,17.00,0.00,0.00,3.00
17.00,NaN,0.00,0.00,12.00,14.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,16.00,0.00,0.00,0.00
18.00,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,13.00,0.00,0.00,0.00
19.00,NaN,0.00,0.00,8.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,2.00,0.00,0.00,0.00
20.00,NaN,0.00,0.00,19.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,9.00,0.00,0.00,0.00
21.00,NaN,1.00,0.00,22.00,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.00,0.00,0.00,7.00,0.00,0.00,1.00
22.00,NaN,8.00,0.00,19.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00,0.00,0.00,10.00,0.00,0.00,14.00
23.00,NaN,12.00,20.00,19.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,5.00,1.00,0.00,0.00,0.00
24.00,NaN,14.00,13.00,11.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.00,0.00,0.00,5.00,0.00,0.00,5.00
25.00,NaN,17.00,1.00,23.00,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,3.00,0.00,0.00,0.00
26.00,NaN,0.00,0.00,4.00,11.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,2.00
27.00,NaN,3.00,0.00,12.00,15.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28.00,NaN,16.00,0.00,6.00,25.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.00,0.00,0.00,0.00,0.00,0.00,0.00
29.00,NaN,13.00,0.00,20.00,8.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.00,0.00,0.00,9.00,9.00,0.00,0.00
30.00,NaN,0.00,5.00,19.00,7.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,9.00,7.00,11.00,8.00,0.00,1.00
31.00,NaN,0.00,0.00,16.00,11.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,6.00,11.00,6.00,0.00,0.00,3.00
32.00,NaN,0.00,0.00,7.00,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,6.00,10.00,8.00,0.00,0.00,15.00
